,Incident Number w/year,Watch,Type of Incident,incident_type,Type  Location,Division,Council District,Year of Incident,Month1 of Occurence,Day1 of the Week,NIBRS Crime Category,severity,NIBRS Crime Against,Zip Code,x,y
7394,050460-2023,1,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Storage Facility,SOUTHEAST,7,2023,February,Wed,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75227,32.76342,-96.64558
7396,035320-2023,1,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Outdoor Area Public/Private,SOUTHEAST,7,2023,February,Wed,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75215,32.7715,-96.77478
7400,006163-2023,1,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Retail Store,SOUTHEAST,5,2023,January,Wed,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75217,32.73702,-96.68314
7401,021177-2023,1,THEFT OF FIREARM,THEFT,Other,SOUTHEAST,7,2023,January,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75215,32.74641,-96.75114
7403,010479-2023,1,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Convenience Store,SOUTHEAST,8,2023,January,Wed,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75217,32.71306,-96.70056
7405,011285-2023,1,THEFT OF PROP > OR EQUAL $30K <$150K (NOT SHOPLIFT) PC31.03(e5),THEFT,Construction Site,SOUTHEAST,8,2023,January,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75253,32.68834,-96.58787
7406,003433-2023,1,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Parking (Business),SOUTHEAST,9,2023,January,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75228,32.79344,-96.72468
7408,052685-2023,1,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Commercial Property Occupied/Vacant,SOUTHEAST,5,2023,March,Wed,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75217,32.71846,-96.68833
7409,048181-2023,1,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,Restaurant/Food Service/TABC Location,SOUTHEAST,5,2023,March,Wed,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75217,32.73425,-96.67003
7411,044035-2023,1,ROBBERY OF INDIVIDUAL,ROBBERY,"Highway, Street, Alley ETC",SOUTHEAST,5,2023,March,Wed,ROBBERY,4,PROPERTY,75217,32.7298,-96.70013
7413,039218-2023,1,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Storage Facility,SOUTHEAST,7,2023,March,Wed,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75227,32.77978,-96.72231
7415,040854-2023,1,THEFT OF PROP > OR EQUAL $30K <$150K (NOT SHOPLIFT) PC31.03(e5),THEFT,Field/Woods,SOUTHEAST,8,2023,March,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75253,32.67801298,-96.60414296
7416,044185-2023,1,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Outdoor Area Public/Private,SOUTHEAST,8,2023,March,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75253,32.65795,-96.66034
7417,052188-2023,1,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Outdoor Area Public/Private,SOUTHEAST,9,2023,March,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75228,32.79344,-96.72468
7418,014129-2023,1,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Storage Facility,SOUTHEAST,7,2023,November,Wed,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75227,32.76494,-96.68113
7419,029583-2023,2,ARSON -MOTOR VEH,ARSON,"Highway, Street, Alley ETC",NORTH CENTRAL,11,2023,February,Mon,ARSON,2,PROPERTY,75230,32.89754,-96.7952
7420,021403-2023,2,"THEFT OF PROP > OR EQUAL $750 <$2,500 ENH (SHOPLIFT-NOT EMP) PC31.03(f)",THEFT,Department/Discount Store,NORTH CENTRAL,11,2023,February,Mon,LARCENY/ THEFT OFFENSES,9,PROPERTY,75240,32.93037,-96.81817
7421,802591-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (SHOPLIFT-NOT EMP) PC31.03 (e4A)",THEFT,Retail Store,NORTH CENTRAL,11,2023,February,Mon,LARCENY/ THEFT OFFENSES,9,PROPERTY,75230,32.90849,-96.80404
7423,025504-2023,2,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Parking (Business),NORTH CENTRAL,11,2023,February,Mon,LARCENY/ THEFT OFFENSES,9,PROPERTY,75231,32.888168,-96.770499
7424,029555-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Parking (Business),NORTH CENTRAL,13,2023,February,Mon,LARCENY/ THEFT OFFENSES,9,PROPERTY,75225,32.86455,-96.77436
7425,017636-2023,2,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,School - College/University,NORTH CENTRAL,11,2023,January,Mon,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75254,32.94071,-96.78625
7427,017674-2023,2,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,Parking Lot (All Others),NORTH CENTRAL,11,2023,January,Mon,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75251,32.92137,-96.76904
7428,015286-2023,2,FALSE STATEMENT FOR PROPERTY/CREDIT > $30K < $150K PC32.32(c5),FRAUD,Auto Dealership New/Used,NORTH CENTRAL,12,2023,January,Mon,FRAUD OFFENSES,11,PROPERTY,75080,32.99926,-96.75866
7429,800696-2023,2,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Parking (Business),NORTH CENTRAL,12,2023,January,Mon,LARCENY/ THEFT OFFENSES,9,PROPERTY,75287,32.9932,-96.83075
7430,800878-2023,2,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Parking (Business),NORTH CENTRAL,13,2023,January,Mon,LARCENY/ THEFT OFFENSES,9,PROPERTY,75225,32.87523,-96.77159
7431,043079-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking Lot (All Others),NORTH CENTRAL,11,2023,March,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75240,32.93083,-96.82094
7432,038673-2023,2,FRAUDULENT TRANSFER OF MOTOR VEHICLE < $30K PC32.34(f1),FRAUD,Restaurant/Food Service/TABC Location,NORTH CENTRAL,12,2023,March,Mon,FRAUD OFFENSES,11,PROPERTY,75287,33.00192,-96.86554
7436,804134-2023,2,THEFT FROM BUILDING> OR EQUAL $2500<$30K (NOT SHOPLIFT),THEFT,Business Office,NORTH CENTRAL,11,2023,April,Sat,LARCENY/ THEFT OFFENSES,9,PROPERTY,75251,32.92225,-96.7721
7437,059225-2023,2,THEFT FROM PERSON,THEFT,Parking (Business),NORTH CENTRAL,12,2023,April,Sat,LARCENY/ THEFT OFFENSES,9,PROPERTY,75287,33.00647,-96.82785
7440,803787-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (SHOPLIFT-NOT EMP) PC31.03 (e4A)",THEFT,Retail Store,NORTH CENTRAL,13,2023,April,Sat,LARCENY/ THEFT OFFENSES,9,PROPERTY,75225,32.86959,-96.77071
7441,059343-2023,2,"THEFT OF PROP <$2,500 2+PREV CONV (SHOPLFT-NOT EMP) PC31.03(e4D)",THEFT,Shopping Mall,NORTH CENTRAL,13,2023,April,Sat,LARCENY/ THEFT OFFENSES,9,PROPERTY,75225,32.86959,-96.77071
7442,000957-2023,2,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Storage Facility,NORTH CENTRAL,11,2023,December,Sat,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75240,32.93999,-96.75362
7443,039754-2023,2,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Construction Site,NORTH CENTRAL,11,2023,February,Sat,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75240,32.93649,-96.81799
7444,028342-2023,2,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,Gas or Service Station,NORTH CENTRAL,11,2023,February,Sat,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75240,32.93318,-96.80266
7446,022797-2023,2,FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,FRAUD,Retail Store,NORTH CENTRAL,11,2023,February,Sat,FRAUD OFFENSES,11,PROPERTY,75240,32.93626,-96.76101
7447,020115-2023,2,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 10<50,FRAUD,Shopping Mall,NORTH CENTRAL,13,2023,February,Sat,FRAUD OFFENSES,11,PROPERTY,75225,32.86784,-96.77526
7449,005030-2023,2,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Construction Site,NORTH CENTRAL,13,2023,January,Sat,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75229,32.8845,-96.81509
7450,800535-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (SHOPLIFT-NOT EMP) PC31.03 (e4A)",THEFT,Retail Store,NORTH CENTRAL,13,2023,January,Sat,LARCENY/ THEFT OFFENSES,9,PROPERTY,75225,32.86959,-96.77071
7451,017692-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTH CENTRAL,13,2023,January,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75225,32.86959,-96.77071
7456,057480-2023,2,THEFT BY DECEPTION (FRAUD) >OR EQUAL $30K <$150K,THEFT,Auto Dealership New/Used,NORTH CENTRAL,12,2023,March,Sat,FRAUD OFFENSES,11,PROPERTY,75252,33.0106,-96.79494
7457,006875-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (EMPLOYEE) PC31.03(e4A)",THEFT,Other,NORTH CENTRAL,13,2023,November,Sat,EMBEZZELMENT,14,PROPERTY,75225,32.86959,-96.77071
7459,059865-2023,2,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,Retail Store,NORTH CENTRAL,12,2023,April,Sun,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75287,33.00647,-96.82785
7460,033832-2023,2,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Restaurant/Food Service/TABC Location,NORTH CENTRAL,11,2023,February,Sun,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75243,32.90754,-96.76936
7461,033332-2023,2,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,Bank/Savings And Loan,NORTH CENTRAL,12,2023,February,Sun,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75248,32.9835,-96.80683
7462,033333-2023,2,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,Parking (Business),NORTH CENTRAL,12,2023,February,Sun,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75248,32.983631,-96.802791
7463,801323-2023,2,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,Shopping Mall,NORTH CENTRAL,13,2023,February,Sun,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75217,32.86959,-96.77071
7466,800661-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (SHOPLIFT-NOT EMP) PC31.03 (e4A)",THEFT,Retail Store,NORTH CENTRAL,13,2023,January,Sun,LARCENY/ THEFT OFFENSES,9,PROPERTY,75225,32.86959,-96.77071
7469,051695-2023,2,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Storage Facility,NORTH CENTRAL,11,2023,March,Sun,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75230,32.89031,-96.77103
7470,042437-2023,2,CREDIT CARD OR DEBIT CARD ABUSE,CREDIT CARD OR DEBIT CARD ABUSE,Parking (Business),NORTH CENTRAL,11,2023,March,Sun,FRAUD OFFENSES,11,PROPERTY,75240,32.932852,-96.816561
7471,050934-2023,2,"THEFT OF PROP > OR EQUAL $750 <$2,500 ENH (SHOPLIFT-NOT EMP) PC31.03(f)",THEFT,Retail Store,NORTH CENTRAL,11,2023,March,Sun,LARCENY/ THEFT OFFENSES,9,PROPERTY,75254,32.95066,-96.77043
7472,803145-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (SHOPLIFT-NOT EMP) PC31.03 (e4A)",THEFT,Retail Store,NORTH CENTRAL,13,2023,March,Sun,LARCENY/ THEFT OFFENSES,9,PROPERTY,75225,32.86959,-96.77071
7473,071825-2023,2,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,"Highway, Street, Alley ETC",NORTH CENTRAL,11,2023,April,Thu,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75243,32.915695855,-96.766853393
7474,804629-2023,2,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Parking (Business),NORTH CENTRAL,11,2023,April,Thu,LARCENY/ THEFT OFFENSES,9,PROPERTY,75243,32.92162,-96.76611
7475,071553-2023,2,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Parking (Business),NORTH CENTRAL,11,2023,April,Thu,LARCENY/ THEFT OFFENSES,9,PROPERTY,75230,32.92282,-96.78393
7476,071437-2023,2,"THEFT OF PROP <$2,500 2+PREV CONV (SHOPLFT-NOT EMP) PC31.03(e4D)",THEFT,Shopping Mall,NORTH CENTRAL,13,2023,April,Thu,LARCENY/ THEFT OFFENSES,9,PROPERTY,75225,32.86784,-96.77526
7477,800098-2023,2,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Parking Lot (All Others),NORTH CENTRAL,11,2023,December,Thu,LARCENY/ THEFT OFFENSES,9,PROPERTY,75240,32.92795,-96.81806
7478,002840-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Outdoor Area Public/Private,NORTH CENTRAL,11,2023,December,Thu,LARCENY/ THEFT OFFENSES,9,PROPERTY,75251,32.9212,-96.77544
7479,030831-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Parking (Business),NORTH CENTRAL,11,2023,February,Thu,LARCENY/ THEFT OFFENSES,9,PROPERTY,75230,32.91423,-96.78723
7481,027141-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTH CENTRAL,11,2023,February,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75251,32.918,-96.76824
7483,002758-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTH CENTRAL,11,2023,January,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75248,32.97642,-96.82344
7484,002817-2023,2,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Parking (Business),NORTH CENTRAL,11,2023,January,Thu,LARCENY/ THEFT OFFENSES,9,PROPERTY,75254,32.9543,-96.81106
7487,032109-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (EMPLOYEE) PC31.03(e4A)",THEFT,Other,NORTH CENTRAL,11,2023,July,Thu,EMBEZZELMENT,14,PROPERTY,75240,32.93526,-96.81786
7488,035987-2023,2,CREDIT CARD OR DEBIT CARD ABUSE,CREDIT CARD OR DEBIT CARD ABUSE,Retail Store,NORTH CENTRAL,11,2023,March,Thu,FRAUD OFFENSES,11,PROPERTY,75240,32.93083,-96.82094
7489,035988-2023,2,CREDIT CARD OR DEBIT CARD ABUSE,CREDIT CARD OR DEBIT CARD ABUSE,Retail Store,NORTH CENTRAL,11,2023,March,Thu,FRAUD OFFENSES,11,PROPERTY,75240,32.93083,-96.82094
7490,035986-2023,2,CREDIT CARD OR DEBIT CARD ABUSE,CREDIT CARD OR DEBIT CARD ABUSE,Retail Store,NORTH CENTRAL,11,2023,March,Thu,FRAUD OFFENSES,11,PROPERTY,75240,32.92717,-96.81126
7491,053453-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (SHOPLIFT-NOT EMP) PC31.03 (e4A)",THEFT,Retail Store,NORTH CENTRAL,11,2023,March,Thu,LARCENY/ THEFT OFFENSES,9,PROPERTY,75240,32.93083,-96.82094
7492,044785-2023,2,ROBBERY OF INDIVIDUAL (AGG),ROBBERY,Bank/Savings And Loan,NORTH CENTRAL,11,2023,March,Thu,ROBBERY,4,PROPERTY,75230,32.91029,-96.80328
7493,035866-2023,2,CREDIT CARD OR DEBIT CARD ABUSE ELDERLY,CREDIT CARD OR DEBIT CARD ABUSE,Convenience Store,NORTH CENTRAL,13,2023,March,Thu,FRAUD OFFENSES,11,PROPERTY,75230,32.90983,-96.80434
7495,070315-2023,2,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Medical Facility,NORTH CENTRAL,13,2023,April,Tue,LARCENY/ THEFT OFFENSES,9,PROPERTY,75231,32.8725,-96.77065
7497,021149-2023,2,CREDIT CARD OR DEBIT CARD ABUSE ELDERLY,CREDIT CARD OR DEBIT CARD ABUSE,Other,NORTH CENTRAL,11,2023,December,Tue,FRAUD OFFENSES,11,PROPERTY,75248,32.96135,-96.81561
7499,802743-2023,2,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,Parking (Business),NORTH CENTRAL,11,2023,February,Tue,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75230,32.92446,-96.80249
7500,802427-2023,2,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,Restaurant/Food Service/TABC Location,NORTH CENTRAL,11,2023,February,Tue,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75230,32.90954,-96.80153
7501,034824-2023,2,THEFT FROM BUILDING> OR EQUAL $2500<$30K (NOT SHOPLIFT),THEFT,Personal Services,NORTH CENTRAL,11,2023,February,Tue,LARCENY/ THEFT OFFENSES,9,PROPERTY,75230,32.90954,-96.80184
7502,802425-2023,2,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,Parking (Business),NORTH CENTRAL,13,2023,February,Tue,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75225,32.86959,-96.77071
7503,026161-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Parking (Business),NORTH CENTRAL,13,2023,February,Tue,LARCENY/ THEFT OFFENSES,9,PROPERTY,75225,32.86455,-96.77436
7504,030142-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Parking (Business),NORTH CENTRAL,13,2023,February,Tue,LARCENY/ THEFT OFFENSES,9,PROPERTY,75230,32.89489,-96.80642
7505,030899-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (EMPLOYEE) PC31.03(e4A)",THEFT,Business Office,NORTH CENTRAL,11,2023,January,Tue,EMBEZZELMENT,14,PROPERTY,75230,32.90949,-96.77234
7508,014233-2023,2,ROBBERY OF BUSINESS,ROBBERY,Retail Store,NORTH CENTRAL,12,2023,January,Tue,ROBBERY,4,PROPERTY,75287,33.00937,-96.84316
7509,800651-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (SHOPLIFT-NOT EMP) PC31.03 (e4A)",THEFT,Retail Store,NORTH CENTRAL,13,2023,January,Tue,LARCENY/ THEFT OFFENSES,9,PROPERTY,75225,32.86959,-96.77071
7510,005708-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (SHOPLIFT-NOT EMP) PC31.03 (e4A)",THEFT,Shopping Mall,NORTH CENTRAL,13,2023,January,Tue,LARCENY/ THEFT OFFENSES,9,PROPERTY,75225,32.86959,-96.77071
7511,071898-2023,2,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Storage Facility,NORTH CENTRAL,11,2023,March,Tue,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75240,32.924641009,-96.806886027
7515,049077-2023,2,BURGLARY OF BUILDING - NO FORCED ENTRY,BURGLARY,Rental Storage Facility,NORTH CENTRAL,11,2023,February,Wed,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75251,32.92037,-96.77452
7517,802988-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Other,NORTH CENTRAL,13,2023,February,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75230,32.88016,-96.80627
7518,800977-2023,2,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,Parking (Business),NORTH CENTRAL,11,2023,January,Wed,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75240,32.93279,-96.80704
7519,002088-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",NORTH CENTRAL,11,2023,January,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75240,32.92997,-96.76118
7520,015147-2023,2,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Parking (Business),NORTH CENTRAL,11,2023,January,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75243,32.93317,-96.75581
7521,006312-2023,2,ROBBERY OF INDIVIDUAL,ROBBERY,Outdoor Area Public/Private,NORTH CENTRAL,12,2023,January,Wed,ROBBERY,4,PROPERTY,75248,32.96231,-96.78681
7522,015401-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (SHOPLIFT-NOT EMP) PC31.03 (e4A)",THEFT,Retail Store,NORTH CENTRAL,13,2023,January,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75225,32.86784,-96.77526
7523,010801-2023,2,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Parking (Business),NORTH CENTRAL,13,2023,January,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75225,32.86784,-96.77526
7526,050280-2023,2,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Storage Facility,NORTH CENTRAL,11,2023,March,Wed,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75230,32.89031,-96.77103
7527,039925-2023,2,CREDIT CARD OR DEBIT CARD ABUSE,CREDIT CARD OR DEBIT CARD ABUSE,Retail Store,NORTH CENTRAL,11,2023,March,Wed,FRAUD OFFENSES,11,PROPERTY,75240,32.93288,-96.8192
7529,038429-2023,2,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Parking (Business),NORTH CENTRAL,11,2023,March,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75251,32.91716,-96.7729
7530,044276-2023,2,THEFT FROM PERSON,THEFT,Bank/Savings And Loan,NORTH CENTRAL,11,2023,March,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75254,32.95308,-96.80392
7535,805013-2023,2,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Parking (Business),NORTHEAST,2,2023,April,Fri,LARCENY/ THEFT OFFENSES,9,PROPERTY,75237,32.677430982,-96.888804965
7537,803285-2023,2,THEFT OF SERVICE > OR EQUAL $30K <$150K PC31.04(e5),THEFT,Retail Store,NORTHEAST,9,2023,December,Fri,FRAUD OFFENSES,11,PROPERTY,75231,32.86193,-96.75099
7539,024180-2023,2,CREDIT CARD OR DEBIT CARD ABUSE,CREDIT CARD OR DEBIT CARD ABUSE,Convenience Store,NORTHEAST,10,2023,February,Fri,FRAUD OFFENSES,11,PROPERTY,75238,32.87885,-96.71925
7543,032252-2023,2,ROBBERY OF INDIVIDUAL,ROBBERY,Financial Institution,NORTHEAST,7,2023,February,Fri,ROBBERY,4,PROPERTY,75228,32.79498,-96.70046
7544,015940-2023,2,THEFT OF MATERIAL ALUM/BRNZE/COPPER <$20K PC31.03(e4F),THEFT,"Highway, Street, Alley ETC",NORTHEAST,10,2023,January,Fri,LARCENY/ THEFT OFFENSES,9,PROPERTY,75231,32.87587,-96.74129
7545,006457-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Business Office,NORTHEAST,10,2023,January,Fri,LARCENY/ THEFT OFFENSES,9,PROPERTY,75238,32.89406,-96.6988
7547,012399-2023,2,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Storage Facility,NORTHEAST,13,2023,January,Fri,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75231,32.88494,-96.75922
7552,008668-2023,2,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Outdoor Area Public/Private,NORTHEAST,7,2023,January,Fri,LARCENY/ THEFT OFFENSES,9,PROPERTY,75228,32.79433,-96.70372
7554,054318-2023,2,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,UNAUTHORIZED USE OF MOTOR VEH,Hotel/Motel/ETC,NORTHEAST,10,2023,March,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75243,32.91519,-96.74353
7555,041166-2023,2,"THEFT OF PROP <$2,500 2+PREV CONV (SHOPLFT-NOT EMP) PC31.03(e4D)",THEFT,Retail Store,NORTHEAST,13,2023,March,Fri,LARCENY/ THEFT OFFENSES,9,PROPERTY,75231,32.87179,-96.76967
7560,049537-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (SHOPLIFT-NOT EMP) PC31.03 (e4A)",THEFT,Department/Discount Store,NORTHEAST,9,2023,March,Fri,LARCENY/ THEFT OFFENSES,9,PROPERTY,75228,32.83431,-96.67489
7565,066265-2023,2,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Storage Facility,NORTHEAST,7,2023,April,Mon,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75228,32.80532,-96.68423
7566,069398-2023,2,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Storage Facility,NORTHEAST,7,2023,April,Mon,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75228,32.79747,-96.69016
7567,069282-2023,2,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Storage Facility,NORTHEAST,7,2023,April,Mon,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75228,32.79747,-96.69016
7571,056677-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHEAST,9,2023,April,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75228,32.83339,-96.67232
